"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",103,11.6252821670429,"Formação Florestal","#006400"
1,"Formação Savânica",4,0.451467268623025,"Formação Savânica","#7cfc00"
1,"Pastagem",656,74.0406320541761,"Pastagem","#ffff00"
1,"Cana",58,6.54627539503386,"Cana","#ff4500"
1,"Mosaico de Usos",65,7.33634311512415,"Mosaico de Usos","#f4a460"
2,"Formação Florestal",177,20.0226244343891,"Formação Florestal","#006400"
2,"Pastagem",249,28.1674208144796,"Pastagem","#ffff00"
2,"Cana",401,45.3619909502262,"Cana","#ff4500"
2,"Mosaico de Usos",57,6.44796380090498,"Mosaico de Usos","#f4a460"
3,"Formação Florestal",692,78.6363636363636,"Formação Florestal","#006400"
3,"Pastagem",89,10.1136363636364,"Pastagem","#ffff00"
3,"Cana",1,0.113636363636364,"Cana","#ff4500"
3,"Mosaico de Usos",98,11.1363636363636,"Mosaico de Usos","#f4a460"
4,"Formação Florestal",852,96.054114994363,"Formação Florestal","#006400"
4,"Pastagem",31,3.49492671927847,"Pastagem","#ffff00"
4,"Mosaico de Usos",4,0.450958286358512,"Mosaico de Usos","#f4a460"
5,"Formação Florestal",525,59.7269624573379,"Formação Florestal","#006400"
5,"Formação Savânica",66,7.50853242320819,"Formação Savânica","#7cfc00"
5,"Pastagem",205,23.3219567690557,"Pastagem","#ffff00"
5,"Cana",1,0.113765642775882,"Cana","#ff4500"
5,"Mosaico de Usos",82,9.3287827076223,"Mosaico de Usos","#f4a460"
6,"Formação Florestal",238,27.0454545454545,"Formação Florestal","#006400"
6,"Pastagem",363,41.25,"Pastagem","#ffff00"
6,"Cana",33,3.75,"Cana","#ff4500"
6,"Mosaico de Usos",27,3.06818181818182,"Mosaico de Usos","#f4a460"
6,NA,219,24.8863636363636,NA,NA
7,"Formação Florestal",884,99.6617812852311,"Formação Florestal","#006400"
7,"Pastagem",2,0.225479143179256,"Pastagem","#ffff00"
7,"Mosaico de Usos",1,0.112739571589628,"Mosaico de Usos","#f4a460"
8,"Formação Florestal",882,99.548532731377,"Formação Florestal","#006400"
8,"Formação Savânica",3,0.338600451467269,"Formação Savânica","#7cfc00"
8,"Mosaico de Usos",1,0.112866817155756,"Mosaico de Usos","#f4a460"
9,"Formação Florestal",561,63.75,"Formação Florestal","#006400"
9,"Pastagem",66,7.5,"Pastagem","#ffff00"
9,"Cana",67,7.61363636363636,"Cana","#ff4500"
9,"Mosaico de Usos",176,20,"Mosaico de Usos","#f4a460"
9,"Corpo d'Água",10,1.13636363636364,"Corpo d'Água","#0000ff"
10,"Formação Florestal",185,20.9276018099548,"Formação Florestal","#006400"
10,"Pastagem",234,26.4705882352941,"Pastagem","#ffff00"
10,"Cana",279,31.5610859728507,"Cana","#ff4500"
10,"Mosaico de Usos",186,21.0407239819005,"Mosaico de Usos","#f4a460"
11,"Formação Florestal",684,77.8156996587031,"Formação Florestal","#006400"
11,"Mosaico de Usos",8,0.910125142207053,"Mosaico de Usos","#f4a460"
11,NA,187,21.2741751990899,NA,NA
12,"Formação Florestal",154,17.440543601359,"Formação Florestal","#006400"
12,"Pastagem",272,30.8040770101925,"Pastagem","#ffff00"
12,"Cana",258,29.2185730464326,"Cana","#ff4500"
12,"Mosaico de Usos",199,22.5368063420159,"Mosaico de Usos","#f4a460"
13,"Formação Florestal",877,98.9841986455982,"Formação Florestal","#006400"
13,"Pastagem",6,0.677200902934537,"Pastagem","#ffff00"
13,"Mosaico de Usos",3,0.338600451467269,"Mosaico de Usos","#f4a460"
14,"Formação Florestal",842,94.7131608548931,"Formação Florestal","#006400"
14,"Formação Savânica",21,2.36220472440945,"Formação Savânica","#7cfc00"
14,"Pastagem",18,2.02474690663667,"Pastagem","#ffff00"
14,"Mosaico de Usos",8,0.899887514060743,"Mosaico de Usos","#f4a460"
15,"Formação Florestal",564,64.0909090909091,"Formação Florestal","#006400"
15,"Formação Savânica",39,4.43181818181818,"Formação Savânica","#7cfc00"
15,"Pastagem",184,20.9090909090909,"Pastagem","#ffff00"
15,"Mosaico de Usos",93,10.5681818181818,"Mosaico de Usos","#f4a460"
